x,y
0.00,37.31
1.00,38.42
2.00,39.53
3.00,40.64
4.00,41.75
5.00,42.86
6.00,43.97
7.00,45.08
8.00,46.19
9.00,47.30
10.00,48.41
11.00,49.52
12.00,50.63
13.00,51.74
14.00,52.85
15.00,53.96
16.00,55.07
17.00,56.18
18.00,57.29
19.00,58.40
20.00,59.51
21.00,60.62
22.00,61.73
23.00,62.84
24.00,63.95
25.00,65.06
26.00,66.17
27.00,67.28
28.00,68.39
29.00,69.50
30.00,70.61
31.00,71.72
32.00,72.83
33.00,73.94
34.00,75.05
35.00,76.16
36.00,77.27
37.00,78.38
38.00,79.49
39.00,80.60
40.00,81.71
41.00,82.82
42.00,83.93
43.00,85.04
44.00,86.15
45.00,87.26
46.00,88.37
47.00,89.48
48.00,90.59
49.00,91.70
50.00,92.81
51.00,93.92
52.00,95.03
53.00,96.14
54.00,97.25
55.00,98.36
56.00,99.47
57.00,100.58
58.00,101.69
59.00,102.80
60.00,103.91
61.00,105.02
62.00,106.13
63.00,107.24
64.00,108.35
65.00,109.46
66.00,110.57
67.00,111.68
68.00,112.79
69.00,113.90
70.00,115.01
71.00,116.12
72.00,117.23
73.00,118.34
74.00,119.45
75.00,120.56
76.00,121.67
77.00,122.78
78.00,123.89
79.00,125.00
80.00,126.11
81.00,127.22
82.00,128.33
83.00,129.44
84.00,130.55
85.00,131.66
86.00,132.77
87.00,133.88
88.00,134.99
89.00,136.10
90.00,137.21
91.00,138.32
92.00,139.43
93.00,140.54
94.00,141.65
95.00,142.76
96.00,143.87
97.00,144.98
98.00,146.09
99.00,147.20
